Processed,Method,URI,Flags
true,GET,http://localhost:3000/faq_hero.png,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667254,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667254,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667256,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667256,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667254,
true,GET,http://localhost:3000/_next/static/chunks/app/faq/page.js,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667256,
true,GET,http://localhost:3000/_next/static/chunks/app/register/page.js,
true,GET,http://localhost:3000/contact_hero.png,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667257,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667257,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667257,
true,GET,http://localhost:3000/_next/static/chunks/app/contact/page.js,
true,GET,http://localhost:3000/register?confirmPassword=ZAP&email=zaproxy%40example.com&membershipType=monthly&name=ZAP&password=ZAP&phone=9999999999&sport=Cricket,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667258,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667258,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667258,
true,GET,http://localhost:3000/_next/static/chunks/app/login/page.js,
true,GET,http://localhost:3000/about_hero.png,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667260,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667260,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667260,
true,GET,http://localhost:3000/_next/static/chunks/app/about/page.js,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667370,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667370,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667370,
true,GET,http://localhost:3000/_next/static/css/app/layout.css?v=1790326667870,
true,GET,http://localhost:3000/_next/static/chunks/webpack.js?v=1790326667870,
true,GET,http://localhost:3000/_next/static/chunks/main-app.js?v=1790326667870,
